Model,Accuracy,Top-5 Acc,AUC,EER
Encoder (no adapter),0.7410,0.8735,0.9522822400000002,0.1197
Encoder + Adapter,-,-,0.5226673606305267,0.5079
Random Forest,0.1608,-,0.6400672441303852,0.4181
XGBoost,0.2118,-,0.7211479638842823,0.3340
